CVEID	Method or Impact	Context	Artifact	Countermeasure	Phase	Category
CVE-2023-48795	Authentication Bypass	Application	Windows Shortcut File	File Encryption	Containment	File
CVE-2023-48795	Authentication Bypass	Application	Windows Shortcut File	Local File Permissions	Identification	File
CVE-2023-48795	Authentication Bypass	Application	Windows Shortcut File	Decoy File	Identification	File
CVE-2023-48795	Authentication Bypass	Application	Windows Shortcut File	File Analysis	Identification	File
CVE-2023-48795	Authentication Bypass	Application	Windows Shortcut File	File Removal	Eradication	File
CVE-2023-48795	Authentication Bypass	Application	Windows Shortcut File	File Integrity Monitoring	Identification	File
CVE-2023-48795	Authentication Bypass	Application	Windows Shortcut File	Restore File	Recovery	File
CVE-2023-48795	Authentication Bypass	Application	Authentication	Authentication Event Thresholding	Identification	General
CVE-2023-48795	Authentication Bypass	Application	Authentication	Resource Access Pattern Analysis	Identification	General
CVE-2023-48795	Authentication Bypass	Application	Authentication	Session Duration Analysis	Identification	General
CVE-2023-48795	Manipulation	Application	File	File Encryption	Containment	File
CVE-2023-48795	Manipulation	Application	File	Local File Permissions	Identification	File
CVE-2023-48795	Manipulation	Application	File	Decoy File	Identification	File
CVE-2023-48795	Manipulation	Application	File	File Analysis	Identification	File
CVE-2023-48795	Manipulation	Application	File	File Removal	Eradication	File
CVE-2023-48795	Manipulation	Application	File	File Integrity Monitoring	Identification	File
CVE-2023-48795	Manipulation	Application	File	Restore File	Recovery	File
CVE-2023-48795	Manipulation	Application	File	User Session Init Config Analysis	Identification	File
CVE-2023-48795	Manipulation	Application	File	Certificate Analysis	Identification	File
CVE-2023-48795	Manipulation	Application	File	Container Image Analysis	Identification	File
CVE-2023-48795	Manipulation	Application	File	Dynamic Analysis	Identification	File
CVE-2023-48795	Manipulation	Application	File	Emulated File Analysis	Identification	File
CVE-2023-48795	Manipulation	Application	File	Email Filtering	Containment	File
CVE-2023-48795	Manipulation	Application	File	Email Removal	Eradication	File
CVE-2023-48795	Manipulation	Application	File	Homoglyph Detection	Identification	File
CVE-2023-48795	Manipulation	Application	File	Sender MTA Reputation Analysis	Identification	File
CVE-2023-48795	Manipulation	Application	File	Sender Reputation Analysis	Identification	File
CVE-2023-48795	Manipulation	Application	File	Restore Email	Recovery	File
CVE-2023-48795	Manipulation	Application	File	Executable Allowlisting	Containment	File
CVE-2023-48795	Manipulation	Application	File	Executable Denylisting	Containment	File
CVE-2023-48795	Manipulation	Application	File	System File Analysis	Identification	File
CVE-2023-48795	Manipulation	Application	Executable File	Dynamic Analysis	Identification	File
CVE-2023-48795	Manipulation	Application	Executable File	Emulated File Analysis	Identification	File
CVE-2023-48795	Manipulation	Application	Executable File	Executable Allowlisting	Containment	File
CVE-2023-48795	Manipulation	Application	Executable File	Executable Denylisting	Containment	File
CVE-2023-48795	Manipulation	Application	Executable File	File Encryption	Containment	File
CVE-2023-48795	Manipulation	Application	Executable File	Local File Permissions	Identification	File
CVE-2023-48795	Manipulation	Application	Executable File	Decoy File	Identification	File
CVE-2023-48795	Manipulation	Application	Executable File	File Analysis	Identification	File
CVE-2023-48795	Manipulation	Application	Executable File	File Removal	Eradication	File
CVE-2023-48795	Manipulation	Application	Executable File	File Integrity Monitoring	Identification	File
CVE-2023-48795	Manipulation	Application	Executable File	Restore File	Recovery	File
CVE-2023-48795	Manipulation	Application	Network Traffic	Client-server Payload Profiling	Identification	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Network Traffic Community Deviation	Identification	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Per Host Download-Upload Ratio Analysis	Identification	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Protocol Metadata Anomaly Detection	Identification	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Remote Terminal Session Detection	Identification	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	User Geolocation Logon Pattern Analysis	Identification	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Network Traffic Filtering	Containment	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Administrative Network Activity Analysis	Identification	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Connection Attempt Analysis	Identification	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Broadcast Domain Isolation	Containment	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	IPC Traffic Analysis	Identification	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	DNS Denylisting	Containment	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	DNS Traffic Analysis	Identification	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	DNS Allowlisting	Containment	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Forward Resolution Domain Denylisting	Containment	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Reverse Resolution IP Denylisting	Containment	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	File Carving	Identification	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Inbound Traffic Filtering	Containment	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Inbound Session Volume Analysis	Identification	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Forward Resolution IP Denylisting	Containment	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Reverse Resolution Domain Denylisting	Containment	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Relay Pattern Analysis	Identification	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	RPC Traffic Analysis	Identification	Network
CVE-2023-48795	Manipulation	Application	Network Traffic	Outbound Traffic Filtering	Containment	Network
