CVEID	Method or Impact	Context	Artifact	Countermeasure	Phase	Category
CVE-2022-4027	Code Execution	Application	Application	Asset Vulnerability Enumeration	Identification	General
CVE-2022-4027	Code Execution	Application	Application	Software Update	Containment	General
CVE-2022-4027	Code Execution	Application	Application	Restore Software	Recovery	General
CVE-2022-4027	Code Execution	Application	Application	Service Binary Verification	Identification	GeneralCVE-2022-3991	Code Execution	Application	Application	Asset Vulnerability Enumeration	Identification	General
CVE-2022-3991	Code Execution	Application	Application	Software Update	Containment	General
CVE-2022-3991	Code Execution	Application	Application	Restore Software	Recovery	General
CVE-2022-3991	Code Execution	Application	Application	Service Binary Verification	Identification	General
CVE-2023-5707	Code Execution	Application	Application	Asset Vulnerability Enumeration	Identification	General
CVE-2023-5707	Code Execution	Application	Application	Software Update	Containment	General
CVE-2023-5707	Code Execution	Application	Application	Restore Software	Recovery	General
CVE-2023-5707	Code Execution	Application	Application	Service Binary Verification	Identification	General
CVE-2023-3807	Authentication Bypass	nan	Windows Shortcut File	File Encryption	Containment	File
CVE-2023-3807	Authentication Bypass	nan	Windows Shortcut File	Local File Permissions	Identification	File
CVE-2023-3807	Authentication Bypass	nan	Windows Shortcut File	Decoy File	Identification	File
CVE-2023-3807	Authentication Bypass	nan	Windows Shortcut File	File Analysis	Identification	File
CVE-2023-3807	Authentication Bypass	nan	Windows Shortcut File	File Removal	Eradication	File
CVE-2023-3807	Authentication Bypass	nan	Windows Shortcut File	File Integrity Monitoring	Identification	File
CVE-2023-3807	Authentication Bypass	nan	Windows Shortcut File	Restore File	Recovery	File
CVE-2023-3807	Authentication Bypass	nan	Authentication	Authentication Event Thresholding	Identification	General
CVE-2023-3807	Authentication Bypass	nan	Authentication	Resource Access Pattern Analysis	Identification	General
CVE-2023-3807	Authentication Bypass	nan	Authentication	Session Duration Analysis	Identification	General
CVE-2023-3807	Manipulation	nan	File	File Encryption	Containment	File
CVE-2023-3807	Manipulation	nan	File	Local File Permissions	Identification	File
CVE-2023-3807	Manipulation	nan	File	Decoy File	Identification	File
CVE-2023-3807	Manipulation	nan	File	File Analysis	Identification	File
CVE-2023-3807	Manipulation	nan	File	File Removal	Eradication	File
CVE-2023-3807	Manipulation	nan	File	File Integrity Monitoring	Identification	File
CVE-2023-3807	Manipulation	nan	File	Restore File	Recovery	File
CVE-2023-3807	Manipulation	nan	File	User Session Init Config Analysis	Identification	File
CVE-2023-3807	Manipulation	nan	File	Certificate Analysis	Identification	File
CVE-2023-3807	Manipulation	nan	File	Container Image Analysis	Identification	File
CVE-2023-3807	Manipulation	nan	File	Dynamic Analysis	Identification	File
CVE-2023-3807	Manipulation	nan	File	Emulated File Analysis	Identification	File
CVE-2023-3807	Manipulation	nan	File	Email Filtering	Containment	File
CVE-2023-3807	Manipulation	nan	File	Email Removal	Eradication	File
CVE-2023-3807	Manipulation	nan	File	Homoglyph Detection	Identification	File
CVE-2023-3807	Manipulation	nan	File	Sender MTA Reputation Analysis	Identification	File
CVE-2023-3807	Manipulation	nan	File	Sender Reputation Analysis	Identification	File
CVE-2023-3807	Manipulation	nan	File	Restore Email	Recovery	File
CVE-2023-3807	Manipulation	nan	File	Executable Allowlisting	Containment	File
CVE-2023-3807	Manipulation	nan	File	Executable Denylisting	Containment	File
